"batch" "cluster" "condition" "cell_name" "nomi_cluster"
"2" 2 "Cell competition ON" "24538_8#179" "ExE"
"2" 4 "Cell competition OFF" "24538_8#182" "Los Epi"
"2" 4 "Cell competition OFF" "24538_8#183" "Los Epi"
"2" 2 "Cell competition OFF" "24538_8#184" "ExE"
"2" 1 "Cell competition OFF" "24538_8#185" "Win Epi"
"2" 2 "Cell competition OFF" "24538_8#186" "ExE"
"2" 4 "Cell competition OFF" "24538_8#188" "Los Epi"
"2" 3 "Cell competition OFF" "24538_8#189" "Intermediate"
"2" 4 "Cell competition OFF" "24538_8#191" "Los Epi"
"2" 2 "Cell competition ON" "24538_8#194" "ExE"
"2" 5 "Cell competition ON" "24538_8#196" "VE"
"2" 1 "Cell competition ON" "24538_8#197" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#198" "ExE"
"2" 1 "Cell competition ON" "24538_8#199" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#200" "ExE"
"2" 2 "Cell competition ON" "24538_8#202" "ExE"
"2" 1 "Cell competition ON" "24538_8#203" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#204" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#205" "Intermediate"
"2" 1 "Cell competition OFF" "24538_8#206" "Win Epi"
"2" 2 "Cell competition OFF" "24538_8#208" "ExE"
"2" 1 "Cell competition OFF" "24538_8#209" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#211" "Intermediate"
"2" 1 "Cell competition OFF" "24538_8#212" "Win Epi"
"2" 4 "Cell competition OFF" "24538_8#213" "Los Epi"
"2" 1 "Cell competition OFF" "24538_8#215" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#216" "Intermediate"
"2" 1 "Cell competition ON" "24538_8#218" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#222" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#225" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#226" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#228" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#230" "Intermediate"
"2" 1 "Cell competition OFF" "24538_8#231" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#233" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#236" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#237" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#239" "Intermediate"
"2" 4 "Cell competition OFF" "24538_8#240" "Los Epi"
"2" 2 "Cell competition ON" "24538_8#241" "ExE"
"2" 1 "Cell competition ON" "24538_8#246" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#249" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#250" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#251" "ExE"
"2" 1 "Cell competition ON" "24538_8#252" "Win Epi"
"2" 5 "Cell competition OFF" "24538_8#258" "VE"
"2" 1 "Cell competition OFF" "24538_8#259" "Win Epi"
"2" 2 "Cell competition OFF" "24538_8#263" "ExE"
"2" 2 "Cell competition ON" "24538_8#267" "ExE"
"2" 1 "Cell competition ON" "24538_8#268" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#269" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#271" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#274" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#276" "ExE"
"2" 4 "Cell competition OFF" "24538_8#277" "Los Epi"
"2" 2 "Cell competition OFF" "24538_8#281" "ExE"
"2" 4 "Cell competition OFF" "24538_8#282" "Los Epi"
"2" 2 "Cell competition OFF" "24538_8#285" "ExE"
"2" 2 "Cell competition OFF" "24538_8#287" "ExE"
"2" 2 "Cell competition OFF" "24538_8#288" "ExE"
"2" 1 "Cell competition ON" "24538_8#291" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#292" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#293" "Win Epi"
"2" 5 "Cell competition ON" "24538_8#295" "VE"
"2" 2 "Cell competition ON" "24538_8#296" "ExE"
"2" 1 "Cell competition ON" "24538_8#297" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#298" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#299" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#300" "Win Epi"
"2" 5 "Cell competition OFF" "24538_8#303" "VE"
"2" 1 "Cell competition OFF" "24538_8#305" "Win Epi"
"2" 4 "Cell competition OFF" "24538_8#306" "Los Epi"
"2" 2 "Cell competition OFF" "24538_8#307" "ExE"
"2" 5 "Cell competition OFF" "24538_8#309" "VE"
"2" 1 "Cell competition OFF" "24538_8#310" "Win Epi"
"2" 2 "Cell competition OFF" "24538_8#312" "ExE"
"2" 1 "Cell competition ON" "24538_8#314" "Win Epi"
"2" 5 "Cell competition ON" "24538_8#315" "VE"
"2" 5 "Cell competition ON" "24538_8#316" "VE"
"2" 1 "Cell competition ON" "24538_8#317" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#319" "ExE"
"2" 1 "Cell competition ON" "24538_8#320" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#321" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#322" "ExE"
"2" 1 "Cell competition ON" "24538_8#323" "Win Epi"
"2" 4 "Cell competition OFF" "24538_8#325" "Los Epi"
"2" 3 "Cell competition OFF" "24538_8#326" "Intermediate"
"2" 1 "Cell competition OFF" "24538_8#328" "Win Epi"
"2" 1 "Cell competition OFF" "24538_8#329" "Win Epi"
"2" 1 "Cell competition OFF" "24538_8#330" "Win Epi"
"2" 4 "Cell competition OFF" "24538_8#331" "Los Epi"
"2" 3 "Cell competition OFF" "24538_8#334" "Intermediate"
"2" 2 "Cell competition ON" "24538_8#339" "ExE"
"2" 1 "Cell competition ON" "24538_8#341" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#343" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#344" "ExE"
"2" 2 "Cell competition ON" "24538_8#346" "ExE"
"2" 2 "Cell competition ON" "24538_8#348" "ExE"
"2" 1 "Cell competition OFF" "24538_8#350" "Win Epi"
"2" 1 "Cell competition OFF" "24538_8#352" "Win Epi"
"2" 2 "Cell competition OFF" "24538_8#355" "ExE"
"2" 2 "Cell competition OFF" "24538_8#356" "ExE"
"2" 2 "Cell competition OFF" "24538_8#357" "ExE"
"2" 4 "Cell competition OFF" "24538_8#358" "Los Epi"
"2" 2 "Cell competition ON" "24538_8#367" "ExE"
"2" 5 "Cell competition ON" "24538_8#369" "VE"
"2" 1 "Cell competition ON" "24538_8#372" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#374" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#375" "Intermediate"
"2" 2 "Cell competition OFF" "24538_8#376" "ExE"
"2" 5 "Cell competition OFF" "24538_8#377" "VE"
"2" 3 "Cell competition OFF" "24538_8#379" "Intermediate"
"1" 1 "Cell competition ON" "24538_5#2" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#3" "Win Epi"
"1" 3 "Cell competition ON" "24538_5#6" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#16" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#21" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#22" "ExE"
"1" 1 "Cell competition ON" "24538_5#25" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#26" "ExE"
"1" 2 "Cell competition ON" "24538_5#27" "ExE"
"1" 5 "Cell competition ON" "24538_5#28" "VE"
"1" 1 "Cell competition ON" "24538_5#30" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#33" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#34" "ExE"
"1" 1 "Cell competition ON" "24538_5#35" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#36" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#37" "ExE"
"1" 1 "Cell competition OFF" "24538_5#38" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#39" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#41" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#42" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#44" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#45" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#46" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#47" "Win Epi"
"1" 1 "Cell competition OFF" "24538_5#48" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#49" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#50" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#51" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#52" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#53" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#54" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#55" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#56" "ExE"
"1" 1 "Cell competition ON" "24538_5#57" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#59" "Win Epi"
"1" 3 "Cell competition ON" "24538_5#60" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#61" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#62" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#63" "Intermediate"
"1" 2 "Cell competition OFF" "24538_5#64" "ExE"
"1" 4 "Cell competition OFF" "24538_5#65" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#66" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#67" "Intermediate"
"1" 5 "Cell competition OFF" "24538_5#69" "VE"
"1" 1 "Cell competition OFF" "24538_5#70" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#71" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#72" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#73" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#75" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#77" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#78" "ExE"
"1" 1 "Cell competition ON" "24538_5#79" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#81" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#82" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#85" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#86" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#87" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#88" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#90" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#91" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#92" "Intermediate"
"1" 4 "Cell competition OFF" "24538_5#93" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#94" "Intermediate"
"1" 2 "Cell competition OFF" "24538_5#95" "ExE"
"1" 1 "Cell competition OFF" "24538_5#96" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#97" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#99" "ExE"
"1" 1 "Cell competition ON" "24538_5#100" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#101" "ExE"
"1" 1 "Cell competition ON" "24538_5#102" "Win Epi"
