"batch" "cluster" "condition" "cell_name" "nomi_cluster"
"1" 3 "Cell competition OFF" "24538_5#330" "Intermediate"
"1" 2 "Cell competition OFF" "24538_5#332" "ExE"
"1" 1 "Cell competition OFF" "24538_5#333" "Win Epi"
"1" 4 "Cell competition OFF" "24538_5#335" "Los Epi"
"1" 3 "Cell competition OFF" "24538_5#336" "Intermediate"
"1" 1 "Cell competition ON" "24538_5#338" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#339" "ExE"
"1" 1 "Cell competition ON" "24538_5#342" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#343" "ExE"
"1" 1 "Cell competition ON" "24538_5#344" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#346" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#347" "Win Epi"
"1" 5 "Cell competition ON" "24538_5#348" "VE"
"1" 1 "Cell competition OFF" "24538_5#349" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#350" "ExE"
"1" 1 "Cell competition OFF" "24538_5#351" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#352" "ExE"
"1" 1 "Cell competition OFF" "24538_5#353" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#354" "ExE"
"1" 2 "Cell competition OFF" "24538_5#355" "ExE"
"1" 3 "Cell competition OFF" "24538_5#357" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#358" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#359" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#368" "Win Epi"
"1" 2 "Cell competition ON" "24538_5#370" "ExE"
"1" 1 "Cell competition ON" "24538_5#371" "Win Epi"
"1" 1 "Cell competition ON" "24538_5#372" "Win Epi"
"1" 3 "Cell competition OFF" "24538_5#373" "Intermediate"
"1" 3 "Cell competition OFF" "24538_5#375" "Intermediate"
"1" 1 "Cell competition OFF" "24538_5#376" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#377" "ExE"
"1" 4 "Cell competition OFF" "24538_5#378" "Los Epi"
"1" 1 "Cell competition OFF" "24538_5#379" "Win Epi"
"1" 2 "Cell competition OFF" "24538_5#380" "ExE"
"5" 5 "Cell competition ON" "25271_1#4" "VE"
"5" 2 "Cell competition OFF" "25271_1#9" "ExE"
"5" 5 "Cell competition ON" "25271_1#37" "VE"
"5" 1 "Cell competition ON" "25271_1#39" "Win Epi"
"5" 5 "Cell competition ON" "25271_1#40" "VE"
"5" 2 "Cell competition ON" "25271_1#41" "ExE"
"5" 1 "Cell competition ON" "25271_1#42" "Win Epi"
"5" 2 "Cell competition OFF" "25271_1#43" "ExE"
"5" 4 "Cell competition OFF" "25271_1#44" "Los Epi"
"5" 3 "Cell competition OFF" "25271_1#46" "Intermediate"
"5" 1 "Cell competition ON" "25271_1#74" "Win Epi"
"5" 1 "Cell competition ON" "25271_1#76" "Win Epi"
"5" 1 "Cell competition ON" "25271_1#77" "Win Epi"
"5" 3 "Cell competition OFF" "25271_1#79" "Intermediate"
"5" 1 "Cell competition OFF" "25271_1#81" "Win Epi"
"5" 2 "Cell competition OFF" "25271_1#82" "ExE"
"5" 5 "Cell competition OFF" "25271_1#84" "VE"
"5" 1 "Cell competition ON" "25271_1#110" "Win Epi"
"5" 5 "Cell competition ON" "25271_1#111" "VE"
"5" 1 "Cell competition ON" "25271_1#113" "Win Epi"
"5" 1 "Cell competition ON" "25271_1#114" "Win Epi"
"5" 2 "Cell competition OFF" "25271_1#115" "ExE"
"5" 1 "Cell competition OFF" "25271_1#116" "Win Epi"
"5" 4 "Cell competition OFF" "25271_1#117" "Los Epi"
"5" 2 "Cell competition OFF" "25271_1#119" "ExE"
"5" 1 "Cell competition ON" "25271_1#146" "Win Epi"
"5" 3 "Cell competition ON" "25271_1#147" "Intermediate"
"5" 3 "Cell competition OFF" "25271_1#151" "Intermediate"
"5" 2 "Cell competition OFF" "25271_1#155" "ExE"
"5" 2 "Cell competition ON" "25271_1#182" "ExE"
"5" 1 "Cell competition ON" "25271_1#185" "Win Epi"
"5" 4 "Cell competition OFF" "25271_1#187" "Los Epi"
"5" 2 "Cell competition OFF" "25271_1#188" "ExE"
"5" 4 "Cell competition OFF" "25271_1#189" "Los Epi"
"5" 3 "Cell competition OFF" "25271_1#190" "Intermediate"
"5" 5 "Cell competition OFF" "25271_1#191" "VE"
"5" 2 "Cell competition ON" "25271_1#217" "ExE"
"5" 1 "Cell competition ON" "25271_1#219" "Win Epi"
"5" 1 "Cell competition ON" "25271_1#221" "Win Epi"
"5" 1 "Cell competition ON" "25271_1#222" "Win Epi"
"5" 5 "Cell competition OFF" "25271_1#223" "VE"
"5" 3 "Cell competition OFF" "25271_1#224" "Intermediate"
"5" 4 "Cell competition OFF" "25271_1#226" "Los Epi"
"5" 4 "Cell competition OFF" "25271_1#227" "Los Epi"
"5" 4 "Cell competition OFF" "25271_1#259" "Los Epi"
"4" 4 "Cell competition OFF" "25076_8#35" "Los Epi"
"4" 3 "Cell competition OFF" "25076_8#41" "Intermediate"
"4" 3 "Cell competition OFF" "25076_8#108" "Intermediate"
"4" 2 "Cell competition ON" "25076_8#126" "ExE"
"4" 3 "Cell competition OFF" "25076_8#131" "Intermediate"
"4" 3 "Cell competition OFF" "25076_8#133" "Intermediate"
"4" 1 "Cell competition ON" "25076_8#147" "Win Epi"
"4" 2 "Cell competition ON" "25076_8#169" "ExE"
"4" 2 "Cell competition ON" "25076_8#174" "ExE"
"4" 3 "Cell competition OFF" "25076_8#183" "Intermediate"
"4" 1 "Cell competition ON" "25076_8#196" "Win Epi"
"4" 1 "Cell competition ON" "25076_8#198" "Win Epi"
"4" 1 "Cell competition ON" "25076_8#201" "Win Epi"
"4" 3 "Cell competition OFF" "25076_8#202" "Intermediate"
"4" 3 "Cell competition OFF" "25076_8#230" "Intermediate"
"4" 5 "Cell competition ON" "25076_8#241" "VE"
"4" 1 "Cell competition ON" "25076_8#249" "Win Epi"
"4" 4 "Cell competition OFF" "25076_8#250" "Los Epi"
"4" 1 "Cell competition ON" "25076_8#271" "Win Epi"
"4" 3 "Cell competition OFF" "25076_8#276" "Intermediate"
"4" 2 "Cell competition ON" "25076_8#291" "ExE"
"4" 1 "Cell competition ON" "25076_8#296" "Win Epi"
"4" 3 "Cell competition OFF" "25076_8#304" "Intermediate"
"4" 2 "Cell competition ON" "25076_8#315" "ExE"
"4" 5 "Cell competition ON" "25076_8#317" "VE"
"4" 3 "Cell competition OFF" "25076_8#323" "Intermediate"
"4" 3 "Cell competition OFF" "25076_8#327" "Intermediate"
"4" 3 "Cell competition OFF" "25076_8#328" "Intermediate"
"4" 2 "Cell competition ON" "25076_8#338" "ExE"
"4" 2 "Cell competition OFF" "25076_8#347" "ExE"
"4" 3 "Cell competition OFF" "25076_8#374" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#23" "Intermediate"
"3" 1 "Cell competition ON" "24947_1#30" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#35" "ExE"
"3" 4 "Cell competition OFF" "24947_1#47" "Los Epi"
"3" 2 "Cell competition ON" "24947_1#50" "ExE"
"3" 1 "Cell competition ON" "24947_1#51" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#53" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#54" "ExE"
"3" 1 "Cell competition ON" "24947_1#55" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#61" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#63" "Intermediate"
"3" 4 "Cell competition OFF" "24947_1#65" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#67" "Los Epi"
"3" 3 "Cell competition OFF" "24947_1#68" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#69" "Intermediate"
"3" 4 "Cell competition OFF" "24947_1#70" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#71" "Los Epi"
"3" 2 "Cell competition ON" "24947_1#74" "ExE"
"3" 2 "Cell competition ON" "24947_1#76" "ExE"
"3" 2 "Cell competition ON" "24947_1#77" "ExE"
"3" 1 "Cell competition ON" "24947_1#79" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#80" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#83" "ExE"
"3" 2 "Cell competition ON" "24947_1#84" "ExE"
"3" 4 "Cell competition OFF" "24947_1#85" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#87" "Win Epi"
"3" 2 "Cell competition OFF" "24947_1#88" "ExE"
"3" 4 "Cell competition OFF" "24947_1#89" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#92" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#93" "Win Epi"
"3" 4 "Cell competition OFF" "24947_1#94" "Los Epi"
"3" 2 "Cell competition ON" "24947_1#97" "ExE"
"3" 1 "Cell competition ON" "24947_1#98" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#99" "ExE"
"3" 2 "Cell competition ON" "24947_1#100" "ExE"
"3" 1 "Cell competition ON" "24947_1#101" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#102" "Win Epi"
"3" 5 "Cell competition ON" "24947_1#104" "VE"
"3" 3 "Cell competition ON" "24947_1#106" "Intermediate"
"3" 2 "Cell competition ON" "24947_1#107" "ExE"
"3" 3 "Cell competition OFF" "24947_1#109" "Intermediate"
"3" 5 "Cell competition OFF" "24947_1#110" "VE"
"3" 4 "Cell competition OFF" "24947_1#111" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#112" "Win Epi"
"3" 2 "Cell competition OFF" "24947_1#113" "ExE"
"3" 1 "Cell competition OFF" "24947_1#114" "Win Epi"
"3" 4 "Cell competition OFF" "24947_1#115" "Los Epi"
"3" 2 "Cell competition OFF" "24947_1#117" "ExE"
"3" 1 "Cell competition OFF" "24947_1#119" "Win Epi"
"3" 3 "Cell competition ON" "24947_1#121" "Intermediate"
"3" 1 "Cell competition ON" "24947_1#122" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#124" "ExE"
"3" 1 "Cell competition ON" "24947_1#128" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#129" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#131" "ExE"
"3" 2 "Cell competition ON" "24947_1#132" "ExE"
"3" 1 "Cell competition OFF" "24947_1#135" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#139" "Intermediate"
"3" 5 "Cell competition OFF" "24947_1#142" "VE"
"3" 5 "Cell competition OFF" "24947_1#143" "VE"
"3" 1 "Cell competition ON" "24947_1#146" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#148" "ExE"
"3" 1 "Cell competition ON" "24947_1#149" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#150" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#151" "ExE"
"3" 1 "Cell competition ON" "24947_1#152" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#154" "ExE"
"3" 1 "Cell competition ON" "24947_1#155" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#156" "ExE"
"3" 3 "Cell competition OFF" "24947_1#158" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#159" "Intermediate"
"3" 1 "Cell competition OFF" "24947_1#160" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#161" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#163" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#165" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#168" "Intermediate"
"3" 2 "Cell competition ON" "24947_1#170" "ExE"
"3" 1 "Cell competition ON" "24947_1#171" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#173" "ExE"
"3" 1 "Cell competition ON" "24947_1#175" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#176" "ExE"
"3" 1 "Cell competition ON" "24947_1#177" "Win Epi"
"3" 1 "Cell competition OFF" "24947_1#181" "Win Epi"
"3" 2 "Cell competition OFF" "24947_1#183" "ExE"
"3" 2 "Cell competition OFF" "24947_1#186" "ExE"
"3" 4 "Cell competition OFF" "24947_1#188" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#189" "Win Epi"
"3" 4 "Cell competition OFF" "24947_1#191" "Los Epi"
"3" 2 "Cell competition ON" "24947_1#194" "ExE"
"3" 2 "Cell competition ON" "24947_1#195" "ExE"
"3" 5 "Cell competition ON" "24947_1#197" "VE"
"3" 5 "Cell competition ON" "24947_1#200" "VE"
"3" 2 "Cell competition ON" "24947_1#202" "ExE"
"3" 3 "Cell competition ON" "24947_1#203" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#205" "Intermediate"
"3" 2 "Cell competition OFF" "24947_1#206" "ExE"
"3" 3 "Cell competition OFF" "24947_1#207" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#208" "Intermediate"
"3" 2 "Cell competition OFF" "24947_1#209" "ExE"
"3" 4 "Cell competition OFF" "24947_1#210" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#214" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#216" "Intermediate"
"3" 1 "Cell competition ON" "24947_1#220" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#222" "ExE"
"3" 5 "Cell competition ON" "24947_1#223" "VE"
"3" 2 "Cell competition ON" "24947_1#224" "ExE"
"3" 3 "Cell competition ON" "24947_1#225" "Intermediate"
"3" 1 "Cell competition ON" "24947_1#226" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#228" "Win Epi"
"3" 1 "Cell competition OFF" "24947_1#233" "Win Epi"
"3" 4 "Cell competition OFF" "24947_1#234" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#239" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#240" "Los Epi"
"3" 1 "Cell competition ON" "24947_1#242" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#243" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#244" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#246" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#247" "ExE"
"3" 2 "Cell competition ON" "24947_1#248" "ExE"
"3" 2 "Cell competition ON" "24947_1#249" "ExE"
"3" 1 "Cell competition ON" "24947_1#250" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#253" "Intermediate"
"3" 2 "Cell competition OFF" "24947_1#254" "ExE"
"3" 2 "Cell competition OFF" "24947_1#255" "ExE"
"3" 3 "Cell competition OFF" "24947_1#256" "Intermediate"
"3" 4 "Cell competition OFF" "24947_1#257" "Los Epi"
"3" 2 "Cell competition OFF" "24947_1#259" "ExE"
"3" 1 "Cell competition OFF" "24947_1#260" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#270" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#274" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#277" "Intermediate"
"3" 1 "Cell competition OFF" "24947_1#278" "Win Epi"
"3" 2 "Cell competition OFF" "24947_1#279" "ExE"
"3" 3 "Cell competition OFF" "24947_1#281" "Intermediate"
"3" 1 "Cell competition OFF" "24947_1#283" "Win Epi"
"3" 4 "Cell competition OFF" "24947_1#284" "Los Epi"
"3" 3 "Cell competition OFF" "24947_1#286" "Intermediate"
"3" 2 "Cell competition OFF" "24947_1#287" "ExE"
"3" 3 "Cell competition OFF" "24947_1#288" "Intermediate"
"3" 1 "Cell competition ON" "24947_1#292" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#296" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#297" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#299" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#300" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#302" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#305" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#306" "Intermediate"
"3" 1 "Cell competition OFF" "24947_1#307" "Win Epi"
"3" 2 "Cell competition OFF" "24947_1#309" "ExE"
"3" 1 "Cell competition ON" "24947_1#315" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#320" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#324" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#326" "Intermediate"
"3" 4 "Cell competition OFF" "24947_1#327" "Los Epi"
"3" 4 "Cell competition OFF" "24947_1#329" "Los Epi"
"3" 1 "Cell competition OFF" "24947_1#332" "Win Epi"
"3" 1 "Cell competition OFF" "24947_1#333" "Win Epi"
"3" 1 "Cell competition ON" "24947_1#340" "Win Epi"
"3" 2 "Cell competition ON" "24947_1#344" "ExE"
"3" 3 "Cell competition OFF" "24947_1#353" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#355" "Intermediate"
"3" 1 "Cell competition OFF" "24947_1#356" "Win Epi"
"3" 3 "Cell competition OFF" "24947_1#359" "Intermediate"
"3" 3 "Cell competition OFF" "24947_1#379" "Intermediate"
